기업명,신규상장일,현재가(원),전일비(%),공모가(원),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원)
중국엔진집단유한공사,2009/12/04,-,%,"6,000",%,"8,500",41.67%,"7,230"
이원컴포텍,2009/12/01,-,%,"2,000",%,"4,000",100%,"4,600"
강원비앤이,2009/11/20,-,%,"4,700",%,"5,000",6.38%,"5,750"
GKL(유가),2009/11/19,-,%,"12,000",%,"15,000",25%,"15,850"
이너스텍,2009/11/13,-,%,"10,000",%,"11,500",15%,"13,200"
에스케이씨앤씨(유가),2009/11/11,-,%,"30,000",%,"32,250",7.5%,"35,650"
동방선기,2009/11/10,-,%,"4,000",%,"4,055",1.38%,"3,450"
디엠씨,2009/11/06,-,%,"6,300",%,"5,670",-10%,"4,855"
진매트릭스,2009/11/06,-,%,"8,000",%,"8,100",1.25%,"9,000"
비츠로셀,2009/10/28,-,%,"5,500",%,"5,870",6.73%,"5,040"
스틸플라워,2009/10/27,-,%,"13,500",%,"14,050",4.07%,"13,150"
진로(유가),2009/10/19,-,%,"41,000",%,"40,100",-2.2%,"42,450"
한스바이오메드,2009/10/09,-,%,"5,500",%,"7,150",30%,"6,310"
동양생명(유가),2009/10/08,-,%,"17,000",%,"15,700",-7.65%,"14,150"
네오위즈벅스,2009/10/06,-,%,"9,000",%,"8,100",-10%,"9,310"
아이앤씨테크놀로지,2009/10/06,-,%,"16,000",%,"16,000",0%,"13,650"
케이엔더블유,2009/09/29,-,%,"11,000",%,"16,000",45.45%,"13,600"
쌍용머티리얼(유가),2009/09/29,-,%,"17,500",%,"15,750",-10%,"13,600"
에리트베이직(유가),2009/09/28,-,%,"4,000",%,"5,490",37.25%,"4,670"
모린스,2009/09/25,-,%,"39,000",%,"36,100",-7.44%,"31,300"
디에스케이,2009/09/23,-,%,"5,000",%,"10,000",100%,"11,500"
톱텍,2009/09/15,-,%,"10,400",%,"13,350",28.37%,"15,350"
제넥신,2009/09/15,-,%,"27,000",%,"30,500",12.96%,"27,100"
동국S&C,2009/08/31,-,%,"11,000",%,"9,900",-10%,"9,910"
에스앤더블류,2009/08/05,-,%,"6,700",%,"10,000",49.25%,"8,500"
게임빌,2009/07/30,-,%,"15,000",%,"19,800",32%,"16,850"
동일금속,2009/07/28,-,%,"8,000",%,"10,000",25%,"11,500"
대우캐피탈(유가),2009/06/25,-,%,"8,000",%,"7,900",-1.25%,"7,000"
한미파슨스건축사사무소(유가),2009/06/23,-,%,"14,500",%,"19,150",32.07%,"22,000"
동아지질(유가),2009/06/12,-,%,"14,500",%,"16,000",10.34%,"18,400"
어보브반도체,2009/06/05,-,%,"3,300",%,"5,200",57.58%,"5,980"
조이맥스,2009/06/03,-,%,"55,000",%,"110,000",100%,"93,500"
차이나그레이트스타인터내셔널리,2009/05/29,-,%,"1,700",%,"3,400",100%,"3,450"
이엔에프테크놀로지,2009/05/28,-,%,"5,500",%,"11,000",100%,"9,350"
뉴그리드테크놀로지,2009/05/26,-,%,"3,500",%,"7,000",100%,"8,050"
중국원양자원유한공사(유가),2009/05/22,-,%,"3,100",%,"6,200",100%,"7,130"
해덕선기,2009/05/21,-,%,"8,500",%,"17,000",100%,"16,200"
한국정밀기계,2009/05/19,-,%,"22,000",%,"44,000",100%,"50,600"
서울마린,2009/05/19,-,%,"10,000",%,"20,000",100%,"17,000"
STX엔파코(유가),2009/05/15,-,%,"13,000",%,"26,000",100%,"29,900"
흥국,2009/05/12,-,%,"4,200",%,"8,400",100%,"9,660"
신텍,2009/04/30,-,%,"12,500",%,"25,000",100%,"26,300"
우림기계,2009/04/28,-,%,"10,000",%,"16,000",60%,"18,400"
네프로아이티,2009/04/24,-,%,"4,500",%,"9,000",100%,"10,350"
티플랙스,2009/04/23,-,%,"3,000",%,"6,000",100%,"6,900"
에이테크솔루션,2009/04/17,-,%,"5,400",%,"10,800",100%,"12,400"
엔에스브이,2009/04/17,-,%,"4,300",%,"8,600",100%,"9,890"
에스티오,2009/04/17,-,%,"5,000",%,"10,000",100%,"11,500"
에스앤에스텍,2009/04/14,-,%,"4,000",%,"8,000",100%,"9,200"
뷰웍스,2009/04/10,-,%,"9,000",%,"18,000",100%,"20,700"
코오롱생명과학,2009/04/07,-,%,"23,500",%,"47,000",100%,"54,000"
네오피델리티,2009/03/31,-,%,"4,500",%,"9,000",100%,"10,350"
중국식품포장유한공사,2009/03/27,-,%,"1,500",%,"2,260",50.67%,"2,595"
이수앱지스,2009/02/03,-,%,"5,500",%,"8,000",45.45%,"9,200"
유비쿼스,2009/01/23,-,%,"6,100",%,"7,000",14.75%,"8,050"
대성파인텍,2009/01/23,-,%,"3,500",%,"4,495",28.43%,"4,190"
메디톡스,2009/01/16,-,%,"14,000",%,"13,500",-3.57%,"15,500"
엠게임,2008/12/19,-,%,"10,000",%,"15,000",50%,"14,800"
아이컴포넌트,2008/12/16,-,%,"3,500",%,"4,235",21%,"4,100"
연합과기공고유한공사(유가),2008/12/04,-,%,"2,200",%,"2,600",18.18%,"2,500"
LG파워콤(유가),2008/11/27,-,%,"5,700",%,"7,000",22.81%,"6,730"
에너지솔루션즈,2008/11/25,"9,130",-1.08%,"3,000",204.33%,"4,210",40.33%,"3,625"
이크레더블,2008/10/24,-,%,"18,000",%,"16,200",-10%,"13,800"
심팩에이앤씨,2008/10/17,-,%,"12,000",%,"10,800",-10%,"9,200"
사이버다임,2008/10/06,-,%,"3,100",%,"4,015",29.52%,"4,210"
세운메디칼,2008/09/30,-,%,"5,600",%,"9,800",75%,"8,700"
마이크로컨텍솔루션,2008/09/23,-,%,"2,000",%,"3,500",75%,"2,975"
케이제이프리텍,2008/09/18,-,%,"3,000",%,"2,800",-6.67%,"3,220"
삼강엠앤티,2008/08/01,-,%,"6,500",%,"8,100",24.62%,"8,100"
LG이노텍(유가),2008/07/24,-,%,"40,500",%,"43,000",6.17%,"44,200"
아이엠,2008/07/23,-,%,"5,000",%,"5,437",8.74%,"5,523"
한텍엔지니어링,2008/07/18,-,%,"8,500",%,"7,900",-7.06%,"6,720"
코리아에스이,2008/07/15,-,%,"5,500",%,"6,100",10.91%,"5,190"
